cluster[object],x[int64],y[int64],cell[int64],center[object]
c1,47,10,2485,N
c1,72,53,2490,N
c1,82,50,2493,N
c1,73,51,2496,N
c1,84,59,2497,N
c1,48,23,2498,N
c1,62,4,2499,N
c1,48,32,2501,N
c1,52,85,2502,N
c1,39,109,2503,N
c1,52,118,2506,N
c1,52,104,2509,N
c1,55,99,2510,N
c1,46,85,2511,N
c1,54,102,2513,N
c1,48,57,2514,N
c1,76,48,2516,N
c1,81,68,2517,N
c1,48,67,2518,N
c1,75,75,2519,N
c1,81,49,2520,N
c1,54,12,2521,N
c1,48,71,2523,N
c1,52,1,2525,N
c1,47,0,2527,N
c1,48,52,2529,N
c1,67,106,2530,N
c1,79,53,2531,N
c1,55,44,2532,N
c1,47,61,2533,N
c1,51,67,2534,N
c1,49,83,2535,N
c1,48,60,2536,N
c1,70,93,2539,N
c1,46,79,2543,N
c1,77,42,2547,N
c1,53,73,2550,N
c1,47,2,2552,N
c1,39,98,2553,N
c1,79,60,2556,N
c1,81,69,2559,N
c1,44,104,2561,N
c1,65,81,2564,N
c1,81,45,2565,N
c1,45,33,2566,N
c1,48,15,2568,N
c1,78,70,2571,N
c1,42,98,2572,N
c1,46,117,2574,N
c1,43,103,2579,N
c1,83,61,2580,N
c1,47,123,2581,N
c1,72,31,2587,N
c1,81,59,2590,N
c1,47,124,2591,N
c1,42,35,2592,N
c1,44,67,2593,N
c1,46,124,2594,N
c1,47,33,2597,N
c1,54,21,2599,N
c1,54,104,2600,N
c1,79,52,2602,N
c1,50,87,2604,N
c1,75,45,2606,N
c1,46,10,2607,N
c1,66,31,2610,N
c1,47,51,2612,N
c1,47,17,2613,N
c1,46,115,2615,N
c1,66,38,2616,N
c1,68,27,2617,N
c1,49,95,2620,N
c1,42,30,2621,N
c1,62,74,2622,N
c1,47,7,2624,N
c1,49,74,2626,N
c1,48,17,2627,N
c1,48,55,2628,N
c1,78,58,2630,N
c1,47,14,2632,N
c1,52,103,2633,N
c1,54,75,2637,N
c1,48,28,2640,N
c1,46,89,2641,N
c1,51,69,2645,N
c1,44,34,2647,N
c1,46,18,2648,N
